unbreakable	اٹوٹ
swallow	ابابیل
deterioration	ابتری
disorganization	ابتری
cloud	ابر
mica	ابرق
ambiguity	اِبہام
protuberance	اُبھار
swell	اُبھار
now	ابھی
presently	ابھی
friend	اپنا
private	اپنا
lower	اُتارنا
shallow	اُتھلا
superficial	اُتھلا
during	اثنا
white	اُجلا
celery	اجمود
alien	اجنبی
new	اجنبی
foreign	اجنبی
strange	اجنبی
employee	اجیر
fool	احمق
stupid	احمق
foolish	احمقانہ
gazette	اخبار
extraction	اخذ
derivation	اخذ
concealment	اِخفا
ethic	اخلاقیات
last	اخیر
final	اخیر
decorum	ادب
literary	ادبی
claim	اِدّعا
small	ادنیٰ
petty	ادنیٰ
little	ادنیٰ
trivial	ادنیٰ
writer	ادیب
value	ارز
cheapness	ارزانی
purple	ارغوانی
prop	اڑواڑ
from	از
basic	اساسی
horse	اسپ
line	استر
imprisonment	اسیری
astrolabe	اُصطرلاب
root	اصل
real	اصلی
fundamental	اصلی
natural	اصلی
neurology	اعصابیات
confusion	افراتفری
chaos	افراتفری
addition	افزائش
enhancement	افزونی
fabulous	افسانوی
officer	افسر
sadness	افسردگی
dejection	افسردگی
absinth	افسنتین
spell	افسوں
charm	افسوں
rumour	افواہ
hearsay	افواہ
minimum	اقل
least	اقل
frequently	اکثر
most	اکثر
stubbornness	اکڑ
cramp	اکڑن
lonely	اکیلا
solitary	اکیلا
though	اگرچہ
come	اگلا
vomit	اُلٹی
linseed	السی
alkali	القلی
separate	الگ
clothe	الگنی
diamond	الماس
protection	امان
point	امر
business	امر
affair	امر
candidate	امیدوار
grand	امیرانہ
trustee	امین
ego	انا
i	انا
heap	انبار
multitude	انبوہ
crowd	انبوہ
association	انجمن
manner	انداز
style	انداز
guess	اندازہ
estimate	اندازہ
in	اندر
within	اندر
concern	اندیشہ
dusky	اندھیرا
english	انگریزی
brazi	انگیٹھی
ill	انمل
priceless	انمول
uncommon	انوکھا
peculiar	انوکھا
curious	انوکھا
friendly	دوستانہ
unique	انیق
superficial	اُوپری
frivolous	اوچھا
superficial	اوچھا
dew	اوس
doze	اُونگھنا
pyramidal	اہرامی
anvil	اہرن
significant	اہم
spur	ایڑ
a	ایک
single	ایک
unity	ایکا
emissary	ایلچی
water	آب
waterfall	آبشار
irrigation	آبیاری
you	آپ
self	آپ
self	آپا
today	آج
person	آدمی
individual	آدمی
sawyer	آراکش
convenience	آرام
sleep	آرام
decoration	آرائش
ornamental	آرائشی
decorative	آرائشی
longing	آرزو
screen	آڑ
freedom	آزادی
test	آزمائش
trial	آزمائش
easy	آسان
facility	آسانی
heaven	آسمان
seat	آسن
manif	آشکار
outset	آغاز
universal	آفاقی
universality	آفاقیت
employer	آقا
lord	آقا
awareness	آگاہی
before	آگے
far	آگے
pollution	آلودگی
impurity	آلودگی
appliance	آلہ
mango	آم
readiness	آمادگی
willingness	آمادگی
ready	آمادہ
willing	آمادہ
intumescence	آماس
afflatus	آمد
income	آمد
incoming	آمد
income	آمدنی
alloy	آمیزہ
mixture	آمیزہ
come	آنا
temp	آندھی
vagabond	آوارہ
wanderer	آوارہ
vagrant	آوارہ
noise	آواز
sound	آواز
moan	آہ
slack	آہستہ
tune	آہنگ
harmony	آہنگ
mirror	آئینہ
look	آئینہ
constitutional	آئینی
whether	آیا
easily	بآسانی
gradually	بتدریج
apropos	بحوالہ
cheerfully	بخوشی
cum	بشمول
apparently	بظاہر
ostensibly	بظاہر
without	بغیر
alert	باخبر
awesome	بارعب
formal	باضابطہ
affectionate	بامہر
affair	بات
arguer	باحث
air	باد
almond	بادام
reign	بادشاہی
cloud	بادل
brinjal	بادنجان
windy	بادی
desert	بادیہ
encumbrance	بار
cold	بارِد
fence	باڑ
open	باز
falconer	بازدار
recovery	بازیابی
retrieval	بازیافت
game	بازی
garden	باغ
gardener	باغبان
rebel	باغی
insurgent	باغی
mutineer	باغی
rebellious	باغیانہ
mutinous	باغیانہ
udder	باکھ
high	بالا
upper	بالائی
adult	بالغ
mature	بالغ
eel	بام
arrow	بان
porter	دربان
gatekeeper	دربان
baize	بانات
sterile	بانجھ
fop	بانکا
founder	بانی
chef	باورچی
cook	باورچی
out	باہر
together	باہم
mutual	باہمی
reciprocal	باہمی
vendor	بائع
signify	بتانا
disclose	بتانا
button	بٹن
quail	بٹیر
just	بجا
accomplishment	بجاآوری
gravel	بجری
except	بجز
save	بجز
protect	بچانا
shield	بچانا
infancy	بچپن
childhood	بچپن
avoid	بچنا
colt	بچھیرا
argumentative	بحّاث
restoration	بحالی
debate	بحث
discussion	بحث
sea	بحر
ocean	بحر
oceanography	بحریات
tip	بخشش
miser	بخیل
niggardliness	بخیلی
stink	بدبو
stench	بدبو
abject	بدحال
malevolent	بدخواہ
maltreatment	بدسلوکی
traducer	بدگو
disreputable	بدنام
infamous	بدنام
notorious	بدنام
infamy	بدنامی
disgrace	بدنامی
ugly	بدنما
misshapen	بدہیئت
originality	بداعت
mutter	بُدبُدانا
curse	بددعا
value	بدل
change	بدلنا
alter	بدلنا
frame	بدن
evil	بدی
wickedness	بدی
weal	بدّھی
veranda	برآمدہ
extempore	برجستہ
discharge	برطرفی
open	برملا
via	براہ
afoot	برپا
utensil	برتن
spear	برچھا
dismissal	برخاستگی
tolerance	برداشت
icy	برفانی
electromagnetic	برقناطیسی
electrical	برقی
electron	برقیہ
leaf	برگ
borer	برما
adolescent	برنائی
nude	برہنہ
naked	برہنہ
boast	بڑ
large	بڑا
principal	بڑا
grand	بڑا
extend	بڑھانا
add	بڑھانا
increase	بڑھانا
aggravate	بڑھانا
augment	بڑھانا
rise	بڑھنا
grow	بڑھنا
carpenter	بڑھئی
timid	بزدل
coward	بزدل
cowardly	بزدلانہ
cowardice	بزدلی
timidity	بزدلی
greatness	بُزرگی
enough	بس
clothe	بستر
inhabit	بسنا
dwell	بسنا
reside	بسنا
cheerfulness	بشاشت
mortal	بشر
visual	بصری
acuman	بصیرت
discernment	بصیرت
after	بعد
distant	بعید
revolt	بغاوت
rebellion	بغاوت
armpit	بغل
greengrocer	بقّال
virginity	بکارت
box	بکس
power	بل
twist	بل
crook	بل
spear	بلّم
height	بلندی
elevation	بلندی
riot	بلوا
rioter	بلوائی
sacrifice	بلیدان
shape	بنانا
contrive	بنانا
build	بنانا
devise	بنانا
make	بنانا
fabricate	بنانا
artificiality	بناوٹ
affectation	بناوٹ
pretence	بناوٹ
texture	بُناوٹ
insincere	بناوٹی
affect	بناوٹی
artificial	بناوٹی
knitting	بُنائی
fasten	بند
close	بند
monkey	بندر
ban	بندش
obstruction	بندش
speck	بُندکی
administration	بندوبست
slave	بندہ
knot	بندھن
bundle	بنڈل
rant	بنکارنا
rave	بنکارنا
feign	بننا
banyan	بنیان
odour	بُو
bottle	بوتل
weight	بوجھ
burden	بوجھ
monkey	بُوزنہ
rotten	بوسیدہ
language	بولی
plant	بونا
valiant	بہادر
brave	بہادر
bravery	بہادری
sister	بہن
flow	بہنا
account	بیان
narration	بیان
wedding	بیاہ
son	بیٹا
daughter	بیٹی
external	بیرونی
outer	بیرونی
foreign	بیرونی
alien	بیگانہ
wife	بیگم
widow	بیوہ
ebb	بھاٹا
weighty	بھاری
language	بھاشا
lucky	بھاگوان
lance	بھالا
brother	بھائی
mislead	بھٹکانا
deviate	بھٹکنا
clumsy	بھدّا
recruitment	بھرتی
fill	بھرنا
hope	بھروسا
incite	بھڑکانا
showy	بھڑکیلا
pimp	بھڑوا
runaway	بھگوڑا
goodness	بھلائی
storehouse	بھنڈار
whirlpool	بھنور
eddy	بھنور
bear	بھوگنا
awkward	بھونڈا
also	بھی
brain	بھیجا
mystery	بھید
sheep	بھیڑ
ewe	بھیڑ
likeness	بھیس
restriction	پابندی
anklet	پازیب
commonplace	پامال
hackneye	پامال
durable	دیرپا
sin	پاپ
crime	پاپ
rusk	پاپا
recompense	پاداش
across	پار
chaste	پارسا
mercury	پارہ
scrap	پارہ
near	پاس
favour	پاسداری
pure	پاک
purity	پاکیزگی
vestal	پاکیزہ
filtration	پالائش
pet	پالتو
reach	پانا
attain	پانا
get	پانا
obtain	پانا
fifth	پانچواں
anklet	پائل
weak	پتلا
thin	پتلا
narrow	پتلا
puppet	پُتلی
moth	پتنگا
spark	پتنگا
address	پتہ
fiftieth	پچاسواں
wedge	پچر
rue	پچھتانا
reception	پذیرائی
at	پر
on	پر
mountain	پربت
propaganda	پرچار
ensign	پرچم
flag	پرچم
curtain	پردہ
adorer	پرستار
heron	پرکٹ
bird	پرندہ
permission	پروانگی
abstinence	پرہیز
fairy	پری
trouble	پریشانی
neighbour	پڑوسی
study	پڑھائی
abject	پست
mean	پست
down	پست
lowness	پستی
like	پسند
favourite	پسندیدہ
perspire	پسیجنا
sweat	پسینہ
grip	پکڑ
ripen	پکنا
pakora	پکوڑا
turban	پگڑی
bedstead	پلنگ
childhood	لڑکپن
shelter	پناہ
cotton	پنبہ
fifteen	پندرہ
fortnight	پندرھواڑا
punkah	پنکھا
skin	پوست
vestment	پوشاک
concealment	پوشیدگی
secret	پوشیدہ
mountain	پہاڑ
identify	پہچاننا
many	پہلودار
wrestler	پہلوان
reach	پہنچ
carry	پہنچانا
convey	پہنچانا
reach	پہنچنا
wear	پہننا
conundrum	پہیلی
dear	پیارا
darling	پیارا
thirst	پیاس
thirsty	پیاسا
abdomen	پیٹ
convolute	پیچاں
complexity	پیچیدگی
complex	پیچیدہ
tree	پیڑ
urine	پیشاب
front	پیشانی
brow	پیشانی
before	پیشتر
offer	پیشکش
call	پیشہ
profession	پیشہ
rupture	پھٹنا
fragile	پُھوٹک
refuse	پھوک
insipidity	پھیکاپن
froth	پھین
foam	پھین
scum	پھین
throw	پھینکنا
yet	تاہم
still	تاہم
albeit	تاہم
nevertheless	تاہم
shine	تابانی
attendant	تابع
obedient	تابع
radioactivity	تابکاری
crown	تاج
delay	تاخیر
lateness	تاخیر
chastisement	تادیب
star	تارا
darkness	تاریکی
freshness	تازگی
green	تازہ
stare	تاکنا
lock	تالا
compilation	تالیف
copper	تانبا
ransom	تاوان
abstinent	تائب
corroboration	تائید
advocacy	تائید
evaporation	تبخیر
alteration	تبدیلی
axe	تبر
heat	تپانا
revival	تجدید
renewal	تجدید
experimentalism	تجربیت
incarnation	تجسیم
plan	تجویز
suggestion	تجویز
restriction	تحدید
write	تحریر
temptation	تحریص
humiliation	تحقیر
dissolution	تحلیل
abatement	تخفیف
diminution	تخفیف
creation	تخلیق
appraisal	تخمینہ
estimate	تخمینہ
intimidation	تخویف
tactic	تدبیر
humiliation	تذلیل
degradation	تذلیل
cut	تراشنا
anthem	ترانہ
compilation	ترتیب
formation	ترتیب
order	ترتیب
arrangement	ترتیب
interpreter	ترجمان
spokesperson	ترجمان
preference	ترجیح
preferential	ترجیحی
contradiction	تردید
refutation	تردید
afraid	ترساں
tantalize	ترسانا
transmission	ترسیل
graphic	ترسیمی
incitement	ترغیب
persuasion	ترغیب
bait	ترغیب
abandonment	ترک
relinquishment	ترک
synthesis	ترکیب
carpenter	ترکھان
modification	ترمیم
amendment	ترمیم
writhe	تڑپنا
purification	تزکیہ
adornment	تزئین
monetization	تسکیک
satisfaction	تسکین
salutation	تسلیم
facilitation	تسہیل
symmetry	تشاکُل
simile	تشبیہہ
assessment	تشخیص
exegesis	تشریح
concern	تشویش
apprehensiveness	تشویش
anxiousness	تشویش
worry	تشویش
persuasion	تشویق
publicity	تشہیر
