sense_key	urdu_word
group%1:03:00::	"For example:
    Input: ""a group of people""
    Output:  گروپ
    
    Input: ""a type of tree""
    Output:  جنس
    
    Input: ""a musical instrument""
    Output:  آلہ
    
    Input: ""a country""
    Output:  دولت
    
    Input: ""a body of water""
    Output:  جھیل"
group%1:27:00::	"Dictionary definition: (chemistry) two or more atoms bound together as a single unit and forming part of a molecule.
    Urdu word: جیو (jiyo)"
group%1:09:00::	"Dictionary Definition: A set that is closed, associative, has an identity element and every element has an inverse.
    Urdu Word:  تعادل"
plan%1:09:00::	"Dictionary Definition: A systematic plan of action to achieve a long term or specific goal.
    Urdu Word:strategy"
plan%1:09:01::	"Definition: A system of rules for organizing information.
    
    Urdu Word: نظام"
plan%1:06:00::	نمایاں
emission%1:04:00::	"Dictionary Definition: the act of emitting; causing to flow forth
    Urdu Word: نکالنا"
emission%1:27:00::	"Definition: A substance that is released into the air.
    Urdu Word: دھواں"
emission%1:22:00::	Electrode
emission%1:22:01::	"Definition: Excretion
    Urdu Word: اخراج"
emission%1:11:00::	"Dictionary Definition: the occurrence of a flow of water (as from a pipe)
    Urdu Word: نсилання"
climate%1:26:00::	Weather
climate%1:26:01::	"Definition: A state of intense excitement and anticipation.
    
    Urdu Word:
    تکلیف"
conference%1:14:00::	Meeting
conference%1:14:01::	Association
conference%1:10:00::	"Dictionary Definition: A formal discussion among participants who have an agreed (serious) topic.
    Urdu Word:  بحث"
posturing%1:07:00::	"Dictionary Definition: adopting a vain conceited posture
    Urdu Word: غرور"
recrimination%1:10:00::	accusations
focus%1:09:00::	"Focus!
    ت concentrating"
focus%1:07:01::	Sharpness
focus%1:07:03::	"Dictionary Definition: Clarity
    Urdu Word: واضح"
focus%1:26:00::	"Dictionary Definition: a central point or locus of an infection in an organism
    Urdu Word: مرکز"
focus%1:26:01::	Definition: Emphasis
focus%1:19:00::	"Dictionary Definition: a point of convergence of light (or other radiation) or a point from which it diverges.
    Urdu Word: نکا"
focus%1:15:00::	"Dictionary Definition: Focus
    Urdu Word: نقطہ"
friday%1:28:00::	Wednesday
release%1:06:00::	"Dictionary Definition: merchandise issued for sale or public showing (especially a record or film)
    Urdu Word: پروڈکٹ"
release%1:04:01::	Liberate
release%1:22:00::	"Dictionary Definition: To release or let go of something.
    Urdu Word: رهایی"
release%1:10:00::	Dictionary Definition: Press release
release%1:04:02::	استعفا
release%1:11:00::	"Definition: A gentle passing, a peaceful end.
    
    Urdu word: انتقال"
release%1:10:01::	"Dictionary Definition: ""Release""
    
    Urdu Word: معافی"
release%1:06:01::	"Definition: A small, handheld device used to quickly release a latch or catch.
    
    Urdu: بٹن"
release%1:04:00::	"Dictionary definition: creative activity that frees or expresses creative energy or emotion.
    Urdu word: تخلیق"
release%1:04:03::	Dictionary Definition: Leak
release%1:04:05::	"Definition: A formal written statement of relinquishment.
    Urdu Word: ردستگاری"
release%1:04:06::	"Definition: (music) the act or manner of terminating a musical phrase or tone
    Urdu Word: خاتمہ"
document%1:10:00::	"Definition: A formal written document that outlines the terms and conditions of a contract.
    
    Urdu Word: معاہدہ"
document%1:06:00::	"Dictionary definition: Language
    Urdu word: زبان"
document%1:21:00::	"Dictionary Definition: a written account of ownership or obligation
    Urdu Word: Deed"
document%1:10:01::	File
reduction%1:04:00::	Dictionary Definition: Decrease
reduction%1:22:00::	Reduction
reduction%1:04:02::	Dictionary Definition: simplification
year%1:28:01::	سال
year%1:28:02::	Season
year%1:28:00::	Year
year%1:14:00::	"Classmate
    Batch
    Cohort
    Graduating class
    Year group
    Fellow
    Peer
    Associate
    Colleague
    Companion
    Acquaintance
    Friend
    Mate
    Buddy
    Pal
    Partner
    Sibling
    Child
    Parent
    Guardian
    Relative
    Stranger
    Enemy
    Opponent
    Rival
    Individual
    Person
    Human
    Being
    Entity"
burden%1:09:01::	"Dictionary Definition: A burdensome or troublesome matter.
    Urdu Word: مصیبت"
