english	urdu
group	گروپ
conference	کانفرنس
recrimination	مذمت
focus	توجہ
reduction	کمی
deal	معاہدہ
obstacle	رکاوٹ
world	عالمی ورلڈ
leader	رہنما
lot	بہت
official	عہدیدار
level	سطح
country	مُلک
flood	سیلاب
like	طرح
comment	تبصرا
bound	پابند
climate	موسمیاتی
action	اقدام کارروائی
talk	مذاکرہ
people	فرد
wednesday	بدھ
team	ٹیم
performance	کارکردگی
point	پوائنٹس
absence	غیر
triumph	فتح
net	نیٹ
wrist	کلائی
end	اختتام
lead	برتری
quarter	چوتھائی
minute	منٹ
line	لائن
spite	باوجود
victory	فتح
market	بازار مارکیٹ
relation	حوالہ
recovery	بحالی
sale	خوردہ
consumer	صارف
estimate	تخمین
index	انڈیکس
sector	شعبہ
security	سیکیورٹی سیکیورٹیز
bond	بانڈز
evening	رات
infrastructure	ڈھانچہ
war	جنگ
company	کمپنی
stake	حصص حصہ
auction	نیلامی
editor	ایڈیٹر
news	خبر نیوز
concern	تشویش خدشہ
firm	کمپنی
government	سرکاری
energy	توانائی
ministry	وزارت
tie	تعلق
advice	مشاورت
field	شعبہ میدان
competitor	حریف
commitment	وعدہ
barrel	بیرل
fee	فیس
bank	بینک
state	ریاستی
us	امریکی
protection	تحفظ
fund	فنڈ
report	رپورٹ رپورٹس
acceptance	قبول
manager	مینیجر
rest	باقی
business	کاروبار
unit	یونٹ
judge	جج
court	عدالت
present	پیش
reporter	صحافی
circus	سرکس
claim	دعوہ دعوے
rule	قواعد
reject	مسترد
ruling	فیصلہ
conviction	سزا یقین
inspiration	حوصلہ
professor	پروفیسر
appeal	اپیل
communication	مواصلات
photograph	تصاویر تصویر
victim	متاثرین
instruction	ہدایت
interest	دلچسپ
case	معاملہ مقدمہ کیس
election	انتخابی
candidate	امیدوار
interview	انٹرویو
view	نظریہ
policy	پالیسی
technical	تکنیکی
need	ضرورت
fraud	دھوکہ
madrid	میڈرڈ
card	کارڈ کارڈز
leadership	قیادت
movement	تحریک
circumstance	حالات
nobility	اشرافیہ
technician	تکنیکی
principle	اصول
rival	مخالف
club	کلب
term	مدتی
change	تبدیل
cycle	سائیکل
round	گولہ
sanction	پابندی
occasion	موقع
controversy	تنازعہ
transmission	منتقلی
microbe	مائکروبیل میکروب
type	اقسام
nutrient	اجزاء
edition	ایڈیشن
space	خلائی
machinery	مشینری
earth	زمین
planet	سیارہ
moon	چاند
research	تحقیقی
poll	سروے
year	سال
respondent	جواب
practical	عملی
chart	چارٹ گراف
decade	دہائی
poverty	غربت
sense	احساس
crime	جرم
unemployment	بے روزگاری
figure	تعداد
private	نجی
pleasure	لطف
justice	جج جسٹس
march	مارچ
race	مقابلہ
sponsor	اسپانسر
attendance	شرکاء
event	تقریب سوسائٹی
fact	دراصل
code	کوڈ
canon	کینن
speaker	اسپیکر
indifference	لاتعلقی
issue	مسئلہ
critic	نقادہ
familiarity	واقفیت
game	میچ میچز کھیل
contrast	تضاد
player	کھلاڑی
europe	یورپ
long	طویل
cup	کپ
peak	بڑا
record	ریکارڈ
match	میچ
side	طرف
immigration	امیگریشن
opportunity	موقع
police	پولیس
compatibility	مطابقت
harassment	ہراساں
waiter	ویٹرز
left	بائیں
right	دائیں
worker	کارکن
degree	ڈگری
asset	اثاثہ
flow	بہاؤ
growth	اضافہ ترقی
fear	خدشہ
immigrant	تارکین وطن
one	اپنا
rise	اضافہ
pay	اجرت
diversity	تنوع
organisation	آرگنائزیشن
budget	بجٹ
lifetime	زندگی
mandate	عہدہ
pound	پاؤنڈ
regulator	ریگولیٹر ریگولیٹری
party	پارٹی
culpability	جرم
settlement	معاہدہ
chairman	چیئرمین
customer	گاہک
compensation	معاوضہ
misconduct	رویہ
responsibility	ذمہ
